,dataset,run,accuracy_no_normalisation,accuracy_with_normalisation,difference
0,ACSF1,0,0.87,0.87,0.0
1,Adiac,0,0.7800511508951407,0.782608695652174,0.002557544757033292
2,AllGestureWiimoteX,0,0.74,0.1,-0.64
3,AllGestureWiimoteY,0,0.7271428571428571,0.1,-0.6271428571428571
4,AllGestureWiimoteZ,0,0.7114285714285714,0.1,-0.6114285714285714
5,ArrowHead,0,0.8114285714285714,0.8114285714285714,0.0
6,BME,0,1.0,1.0,0.0
7,Beef,0,0.8,0.8,0.0
8,BeetleFly,0,0.9,0.9,0.0
9,BirdChicken,0,0.9,0.9,0.0
10,CBF,0,1.0,1.0,0.0
11,Car,0,0.8833333333333333,0.8833333333333333,0.0
12,Chinatown,0,0.9825072886297376,0.9825072886297376,0.0
13,ChlorineConcentration,0,0.8190104166666666,0.8177083333333334,-0.0013020833333332593
14,CinCECGTorso,0,0.8405797101449275,0.8405797101449275,0.0
15,Coffee,0,1.0,1.0,0.0
16,Computers,0,0.776,0.776,0.0
17,CricketX,0,0.8179487179487179,0.8179487179487179,0.0
18,CricketY,0,0.8538461538461538,0.8538461538461538,0.0
19,CricketZ,0,0.8538461538461538,0.8538461538461538,0.0
20,Crop,0,0.7802976190476191,0.758452380952381,-0.021845238095238084
21,DiatomSizeReduction,0,0.9771241830065359,0.9771241830065359,0.0
22,DistalPhalanxOutlineAgeGroup,0,0.7482014388489209,0.7410071942446043,-0.007194244604316613
23,DistalPhalanxOutlineCorrect,0,0.75,0.7536231884057971,0.0036231884057971175
24,DistalPhalanxTW,0,0.6906474820143885,0.6906474820143885,0.0
25,DodgerLoopDay,0,0.55,0.5375,-0.012500000000000067
26,DodgerLoopGame,0,0.8695652173913043,0.8333333333333334,-0.03623188405797095
27,DodgerLoopWeekend,0,0.9637681159420289,0.9710144927536232,0.007246376811594235
28,ECG200,0,0.92,0.92,0.0
29,ECG5000,0,0.9468888888888889,0.9466666666666667,-0.00022222222222223476
30,ECGFiveDays,0,1.0,1.0,0.0
31,EOGHorizontalSignal,0,0.5966850828729282,0.6353591160220995,0.03867403314917128
32,EOGVerticalSignal,0,0.5497237569060773,0.5414364640883977,-0.008287292817679592
33,Earthquakes,0,0.7553956834532374,0.7553956834532374,0.0
34,ElectricDevices,0,0.7299961094540267,0.7298664245882506,-0.00012968486577613625
35,EthanolLevel,0,0.606,0.606,0.0
36,FaceAll,0,0.9414201183431953,0.9420118343195266,0.0005917159763313418
37,FaceFour,0,0.9772727272727273,0.9772727272727273,0.0
38,FacesUCR,0,0.9619512195121951,0.9619512195121951,0.0
39,FiftyWords,0,0.832967032967033,0.832967032967033,0.0
40,Fish,0,0.9828571428571429,0.9828571428571429,0.0
41,FordA,0,0.9356060606060606,0.9371212121212121,0.0015151515151515804
42,FordB,0,0.8148148148148148,0.8123456790123457,-0.0024691358024691024
43,FreezerRegularTrain,0,0.9975438596491228,0.9978947368421053,0.000350877192982435
44,FreezerSmallTrain,0,0.9505263157894737,0.9501754385964912,-0.000350877192982435
45,Fungi,0,1.0,1.0,0.0
46,GestureMidAirD1,0,0.7769230769230769,0.046153846153846156,-0.7307692307692308
47,GestureMidAirD2,0,0.6615384615384615,0.046153846153846156,-0.6153846153846154
48,GestureMidAirD3,0,0.47692307692307695,0.046153846153846156,-0.4307692307692308
49,GesturePebbleZ1,0,0.8953488372093024,0.1569767441860465,-0.7383720930232558
50,GesturePebbleZ2,0,0.7911392405063291,0.15822784810126583,-0.6329113924050633
51,GunPoint,0,1.0,1.0,0.0
52,GunPointAgeSpan,0,0.9841772151898734,0.9968354430379747,0.012658227848101222
53,GunPointMaleVersusFemale,0,1.0,0.9968354430379747,-0.0031645569620253333
54,GunPointOldVersusYoung,0,1.0,0.9904761904761905,-0.00952380952380949
55,Ham,0,0.7428571428571429,0.7428571428571429,0.0
56,HandOutlines,0,0.9459459459459459,0.9459459459459459,0.0
57,Haptics,0,0.5324675324675324,0.5324675324675324,0.0
58,Herring,0,0.625,0.625,0.0
59,HouseTwenty,0,0.957983193277311,0.9663865546218487,0.008403361344537785
60,InlineSkate,0,0.4818181818181818,0.4818181818181818,0.0
61,InsectEPGRegularTrain,0,1.0,1.0,0.0
62,InsectEPGSmallTrain,0,1.0,0.9799196787148594,-0.02008032128514059
63,InsectWingbeatSound,0,0.6621212121212121,0.6621212121212121,0.0
64,ItalyPowerDemand,0,0.967930029154519,0.9689018464528668,0.0009718172983478324
65,LargeKitchenAppliances,0,0.8906666666666667,0.8933333333333333,0.002666666666666595
66,Lightning2,0,0.7868852459016393,0.7868852459016393,0.0
67,Lightning7,0,0.8082191780821918,0.8082191780821918,0.0
68,Mallat,0,0.9556503198294243,0.9556503198294243,0.0
69,Meat,0,0.95,0.95,0.0
70,MedicalImages,0,0.7973684210526316,0.7986842105263158,0.001315789473684159
71,MelbournePedestrian,0,0.942189421894219,0.8880688806888068,-0.0541205412054121
72,MiddlePhalanxOutlineAgeGroup,0,0.5584415584415584,0.5454545454545454,-0.012987012987012991
73,MiddlePhalanxOutlineCorrect,0,0.8281786941580757,0.8316151202749141,0.0034364261168384758
74,MiddlePhalanxTW,0,0.538961038961039,0.538961038961039,0.0
75,MixedShapesRegularTrain,0,0.9711340206185567,0.9715463917525773,0.0004123711340205949
76,MixedShapesSmallTrain,0,0.9389690721649484,0.9389690721649484,0.0
77,MoteStrain,0,0.9161341853035144,0.9161341853035144,0.0
78,NonInvasiveFetalECGThorax1,0,0.9536895674300254,0.9521628498727736,-0.0015267175572518665
79,NonInvasiveFetalECGThorax2,0,0.9689567430025445,0.9684478371501273,-0.0005089058524172518
80,OSULeaf,0,0.9462809917355371,0.9462809917355371,0.0
81,OliveOil,0,0.9333333333333333,0.9333333333333333,0.0
82,PLAID,0,0.7299813780260708,0.16201117318435754,-0.5679702048417132
83,PhalangesOutlinesCorrect,0,0.8391608391608392,0.8368298368298368,-0.002331002331002363
84,Phoneme,0,0.2805907172995781,0.2805907172995781,0.0
85,PickupGestureWiimoteZ,0,0.78,0.1,-0.68
86,PigAirwayPressure,0,0.8125,0.40384615384615385,-0.40865384615384615
87,PigArtPressure,0,0.9567307692307693,0.9567307692307693,0.0
88,PigCVP,0,0.9326923076923077,0.9326923076923077,0.0
89,Plane,0,1.0,1.0,0.0
90,PowerCons,0,0.9833333333333333,0.9444444444444444,-0.03888888888888886
91,ProximalPhalanxOutlineAgeGroup,0,0.8585365853658536,0.8585365853658536,0.0
92,ProximalPhalanxOutlineCorrect,0,0.9037800687285223,0.9106529209621993,0.0068728522336769515
93,ProximalPhalanxTW,0,0.8,0.7951219512195122,-0.004878048780487809
94,RefrigerationDevices,0,0.5413333333333333,0.5413333333333333,0.0
95,Rock,0,0.68,0.88,0.19999999999999996
96,ScreenType,0,0.4533333333333333,0.456,0.002666666666666706
97,SemgHandGenderCh2,0,0.8966666666666666,0.925,0.028333333333333433
98,SemgHandMovementCh2,0,0.5866666666666667,0.6622222222222223,0.0755555555555556
99,SemgHandSubjectCh2,0,0.84,0.8911111111111111,0.05111111111111111
100,ShakeGestureWiimoteZ,0,0.94,0.1,-0.84
101,ShapeletSim,0,1.0,1.0,0.0
102,ShapesAll,0,0.9033333333333333,0.9033333333333333,0.0
103,SmallKitchenAppliances,0,0.824,0.824,0.0
104,SmoothSubspace,0,0.9733333333333334,0.98,0.006666666666666599
105,SonyAIBORobotSurface1,0,0.9201331114808652,0.9201331114808652,0.0
106,SonyAIBORobotSurface2,0,0.919202518363064,0.9202518363064008,0.0010493179433368471
107,StarLightCurves,0,0.9811801845556095,0.9811801845556095,0.0
108,Strawberry,0,0.981081081081081,0.981081081081081,0.0
109,SwedishLeaf,0,0.9664,0.968,0.0015999999999999348
110,Symbols,0,0.9738693467336683,0.9738693467336683,0.0
111,SyntheticControl,0,1.0,1.0,0.0
112,ToeSegmentation1,0,0.9517543859649122,0.9517543859649122,0.0
113,ToeSegmentation2,0,0.9230769230769231,0.9230769230769231,0.0
114,Trace,0,1.0,1.0,0.0
115,TwoLeadECG,0,0.9991220368744512,0.9991220368744512,0.0
116,TwoPatterns,0,1.0,1.0,0.0
117,UMD,0,0.9861111111111112,0.9930555555555556,0.00694444444444442
118,UWaveGestureLibraryAll,0,0.9768285873813513,0.9768285873813513,0.0
119,UWaveGestureLibraryX,0,0.8573422668900056,0.8576214405360134,0.00027917364600782424
120,UWaveGestureLibraryY,0,0.7769402568397543,0.7772194304857621,0.00027917364600782424
121,UWaveGestureLibraryZ,0,0.7970407593523171,0.7964824120603015,-0.0005583472920156485
122,Wafer,0,0.9987021414665801,0.9987021414665801,0.0
123,Wine,0,0.7962962962962963,0.7592592592592593,-0.03703703703703698
124,WordSynonyms,0,0.7476489028213166,0.7492163009404389,0.0015673981191223207
125,Worms,0,0.7402597402597403,0.7402597402597403,0.0
126,WormsTwoClass,0,0.7792207792207793,0.7792207792207793,0.0
127,Yoga,0,0.9123333333333333,0.9116666666666666,-0.0006666666666667043
