,dataset,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_range
0,ACSF1,0.8843333333333334,0.012507469032909722,0.85,0.91,0.06000000000000005
1,Adiac,0.7833759590792838,0.0057050231257174035,0.7698209718670077,0.7928388746803069,0.023017902813299185
2,AllGestureWiimoteX,0.7314761904761905,0.003215972919710991,0.7228571428571429,0.7385714285714285,0.01571428571428568
3,AllGestureWiimoteY,0.7288571428571429,0.003586666998038782,0.7228571428571429,0.7371428571428571,0.014285714285714235
4,AllGestureWiimoteZ,0.7074285714285715,0.006777866865022626,0.6971428571428572,0.72,0.022857142857142798
5,ArrowHead,0.809904761904762,0.007341411114189722,0.7942857142857143,0.8228571428571428,0.02857142857142858
6,BME,1.0,0.0,1.0,1.0,0.0
7,Beef,0.8066666666666668,0.01614113993705009,0.7666666666666667,0.8333333333333334,0.06666666666666665
8,BeetleFly,0.9,0.0,0.9,0.9,0.0
9,BirdChicken,0.9,0.0,0.9,0.9,0.0
10,CBF,0.9999259259259259,0.0002818979241138361,0.9988888888888889,1.0,0.0011111111111110628
11,Car,0.9005555555555556,0.01114458559098952,0.8833333333333333,0.9166666666666666,0.033333333333333326
12,Chinatown,0.9825072886297376,0.0007656351770246229,0.9795918367346939,0.9854227405247813,0.005830903790087438
13,ChlorineConcentration,0.8116319444444444,0.007918147421509746,0.7919270833333333,0.8325520833333333,0.04062500000000002
14,CinCECGTorso,0.8341062801932366,0.005375516712778297,0.8253623188405798,0.8434782608695652,0.018115942028985477
15,Coffee,1.0,0.0,1.0,1.0,0.0
16,Computers,0.772,0.007277741218357467,0.756,0.784,0.028000000000000025
17,CricketX,0.8208547008547008,0.004503674788001867,0.8128205128205128,0.8307692307692308,0.017948717948717996
18,CricketY,0.852051282051282,0.0044232531135220046,0.8435897435897436,0.8615384615384616,0.017948717948717996
19,CricketZ,0.8544444444444445,0.005457314520134584,0.8435897435897436,0.8641025641025641,0.02051282051282055
20,Crop,0.7785019841269841,0.001507718184149115,0.7757142857142857,0.781547619047619,0.005833333333333357
21,DiatomSizeReduction,0.970479302832244,0.00496602516043648,0.9607843137254902,0.9771241830065359,0.016339869281045694
22,DistalPhalanxOutlineAgeGroup,0.745083932853717,0.010465318923073338,0.7266187050359713,0.762589928057554,0.03597122302158273
23,DistalPhalanxOutlineCorrect,0.7669082125603864,0.009857668862592216,0.75,0.782608695652174,0.03260869565217395
24,DistalPhalanxTW,0.6988009592326139,0.012915599754968555,0.6762589928057554,0.7338129496402878,0.05755395683453235
25,DodgerLoopDay,0.5245833333333334,0.01982774237819555,0.475,0.5625,0.08750000000000002
26,DodgerLoopGame,0.871256038647343,0.0059217402475135825,0.8623188405797102,0.8840579710144928,0.021739130434782594
27,DodgerLoopWeekend,0.9640096618357487,0.0013230013466308398,0.9637681159420289,0.9710144927536232,0.007246376811594235
28,ECG200,0.9173333333333333,0.0044977644510880805,0.91,0.92,0.010000000000000009
29,ECG5000,0.9470666666666666,0.0005167274302010445,0.9462222222222222,0.948,0.001777777777777767
30,ECGFiveDays,1.0,0.0,1.0,1.0,0.0
31,EOGHorizontalSignal,0.5820441988950277,0.009006979885658305,0.5662983425414365,0.6022099447513812,0.035911602209944715
32,EOGVerticalSignal,0.5479742173112339,0.00958262301344214,0.5303867403314917,0.5662983425414365,0.035911602209944826
33,Earthquakes,0.7546762589928058,0.006639489331838768,0.7482014388489209,0.7697841726618705,0.021582733812949617
34,ElectricDevices,0.7293822677560196,0.0024430782285950496,0.7250680845545325,0.7353131889508494,0.010245104396316873
35,EthanolLevel,0.5861333333333333,0.00905056040685662,0.566,0.604,0.038000000000000034
36,FaceAll,0.9468836291913214,0.0029715420328693086,0.9396449704142011,0.9520710059171598,0.012426035502958621
37,FaceFour,0.9753787878787878,0.004307375247607397,0.9659090909090909,0.9772727272727273,0.011363636363636354
38,FacesUCR,0.9617235772357724,0.0009983336201705136,0.9595121951219512,0.9634146341463414,0.0039024390243902474
39,FiftyWords,0.8306959706959707,0.0042209852601309845,0.8219780219780219,0.8395604395604396,0.01758241758241763
40,Fish,0.9822857142857143,0.0023004451424940187,0.9771428571428571,0.9885714285714285,0.011428571428571455
41,FordA,0.9371717171717172,0.004540808027965612,0.9295454545454546,0.9484848484848485,0.018939393939393923
42,FordB,0.801522633744856,0.008193581381327298,0.7851851851851852,0.8185185185185185,0.033333333333333326
43,FreezerRegularTrain,0.9976140350877194,0.0003373055895792564,0.9968421052631579,0.9978947368421053,0.001052631578947416
44,FreezerSmallTrain,0.9499181286549708,0.00345627188381773,0.9396491228070175,0.9557894736842105,0.01614035087719301
45,Fungi,1.0,0.0,1.0,1.0,0.0
46,GestureMidAirD1,0.7751282051282051,0.0033091005165544305,0.7692307692307693,0.7769230769230769,0.007692307692307665
47,GestureMidAirD2,0.6594871794871795,0.007264870580783466,0.6538461538461539,0.676923076923077,0.023076923076923106
48,GestureMidAirD3,0.48666666666666664,0.006037809636653095,0.47692307692307695,0.5,0.02307692307692305
49,GesturePebbleZ1,0.8968992248062015,0.0052743438332542615,0.8895348837209303,0.9069767441860465,0.0174418604651162
50,GesturePebbleZ2,0.7983122362869198,0.007924839437712548,0.7784810126582279,0.810126582278481,0.03164556962025311
51,GunPoint,1.0,0.0,1.0,1.0,0.0
52,GunPointAgeSpan,0.990295358649789,0.002483909027737002,0.9841772151898734,0.9936708860759493,0.009493670886075889
53,GunPointMaleVersusFemale,0.9988396624472574,0.0017596627112896732,0.9936708860759493,1.0,0.006329113924050667
54,GunPointOldVersusYoung,1.0,0.0,1.0,1.0,0.0
55,Ham,0.7196825396825397,0.017450860752001387,0.6857142857142857,0.7619047619047619,0.07619047619047614
56,HandOutlines,0.9433333333333334,0.0016620213509685815,0.9405405405405406,0.9486486486486486,0.008108108108108025
57,Haptics,0.5357142857142858,0.007031042753294934,0.5227272727272727,0.5551948051948052,0.032467532467532534
58,Herring,0.6151041666666667,0.02228046837104941,0.578125,0.65625,0.078125
59,HouseTwenty,0.9635854341736695,0.004029103373826744,0.957983193277311,0.9663865546218487,0.008403361344537785
60,InlineSkate,0.47581818181818186,0.004608342392523112,0.46545454545454545,0.48545454545454547,0.020000000000000018
61,InsectEPGRegularTrain,1.0,0.0,1.0,1.0,0.0
62,InsectEPGSmallTrain,1.0,0.0,1.0,1.0,0.0
63,InsectWingbeatSound,0.6659259259259259,0.002868467735280297,0.6611111111111111,0.6717171717171717,0.010606060606060619
64,ItalyPowerDemand,0.9695497246517654,0.0008591706945937738,0.966958211856171,0.9708454810495627,0.0038872691933916625
65,LargeKitchenAppliances,0.8996444444444445,0.005401102011388034,0.888,0.9093333333333333,0.021333333333333315
66,Lightning2,0.7901639344262296,0.009030514662618816,0.7704918032786885,0.8032786885245902,0.032786885245901676
67,Lightning7,0.8255707762557077,0.014359736136204428,0.7945205479452054,0.8493150684931506,0.0547945205479452
68,Mallat,0.9563041933191186,0.001255736062239474,0.9543710021321962,0.95863539445629,0.004264392324093813
69,Meat,0.9483333333333334,0.00508547627715606,0.9333333333333333,0.95,0.016666666666666607
70,MedicalImages,0.797280701754386,0.0030308167691486033,0.7907894736842105,0.8052631578947368,0.014473684210526305
71,MelbournePedestrian,0.9428044280442804,0.0026059156087778067,0.9372693726937269,0.949569495694957,0.012300123001230068
72,MiddlePhalanxOutlineAgeGroup,0.5580086580086581,0.01943817859671039,0.512987012987013,0.6038961038961039,0.09090909090909094
73,MiddlePhalanxOutlineCorrect,0.8334478808705613,0.007260842149709284,0.8213058419243986,0.8556701030927835,0.03436426116838487
74,MiddlePhalanxTW,0.5471861471861472,0.014859750261047001,0.5194805194805194,0.5714285714285714,0.051948051948051965
75,MixedShapesRegularTrain,0.9708591065292096,0.001371248503979135,0.9690721649484536,0.9748453608247423,0.0057731958762886615
76,MixedShapesSmallTrain,0.938213058419244,0.0015047926102685705,0.9352577319587629,0.9410309278350516,0.0057731958762886615
77,MoteStrain,0.9153887113951011,0.002750373732023046,0.9097444089456869,0.920926517571885,0.011182108626198173
78,NonInvasiveFetalECGThorax1,0.9561323155216285,0.0021316308535516597,0.9511450381679389,0.9597964376590331,0.00865139949109417
79,NonInvasiveFetalECGThorax2,0.968481764206955,0.001231664796688228,0.9659033078880407,0.9709923664122138,0.0050890585241730735
80,OSULeaf,0.9400826446280991,0.004698954815571697,0.9297520661157025,0.9462809917355371,0.016528925619834656
81,OliveOil,0.9177777777777778,0.016913875446830824,0.9,0.9333333333333333,0.033333333333333326
82,PLAID,0.7515207945375544,0.038247205721190676,0.7132216014897579,0.8212290502793296,0.10800744878957169
83,PhalangesOutlinesCorrect,0.8371406371406371,0.007975212741365699,0.8193473193473193,0.8543123543123543,0.034965034965035
84,Phoneme,0.27994022503516175,0.004817408942030026,0.26951476793248946,0.29324894514767935,0.02373417721518989
85,PickupGestureWiimoteZ,0.7926666666666667,0.009802650357071245,0.78,0.8,0.020000000000000018
86,PigAirwayPressure,0.8052884615384616,0.007960149611687003,0.7884615384615384,0.8221153846153846,0.033653846153846145
87,PigArtPressure,0.9576923076923076,0.002933928621436204,0.9519230769230769,0.9615384615384616,0.009615384615384692
88,PigCVP,0.9315705128205128,0.0020681878228465114,0.9278846153846154,0.9326923076923077,0.004807692307692291
89,Plane,1.0,0.0,1.0,1.0,0.0
90,PowerCons,0.9840740740740741,0.002818979241138476,0.9833333333333333,0.9944444444444445,0.011111111111111183
91,ProximalPhalanxOutlineAgeGroup,0.8552845528455284,0.005916862779152426,0.8439024390243902,0.8682926829268293,0.024390243902439046
92,ProximalPhalanxOutlineCorrect,0.902405498281787,0.0067893973336591,0.8900343642611683,0.9140893470790378,0.02405498281786944
93,ProximalPhalanxTW,0.8021138211382115,0.007323611694050223,0.7902439024390244,0.8195121951219512,0.029268292682926744
94,RefrigerationDevices,0.5350222222222223,0.009614378334219636,0.5066666666666667,0.5573333333333333,0.05066666666666664
95,Rock,0.6826666666666666,0.01257620449659712,0.66,0.72,0.05999999999999994
96,ScreenType,0.48275555555555555,0.016310900225181047,0.4613333333333333,0.5226666666666666,0.061333333333333295
97,SemgHandGenderCh2,0.8995,0.007892355290447291,0.8833333333333333,0.9183333333333333,0.03500000000000003
98,SemgHandMovementCh2,0.6004444444444444,0.012576204496597134,0.5777777777777777,0.6288888888888889,0.05111111111111122
99,SemgHandSubjectCh2,0.8469629629629629,0.009950637354769852,0.8266666666666667,0.8622222222222222,0.03555555555555556
100,ShakeGestureWiimoteZ,0.9273333333333333,0.009802650357071159,0.92,0.94,0.019999999999999907
101,ShapeletSim,1.0,0.0,1.0,1.0,0.0
102,ShapesAll,0.9068888888888889,0.003382775089366162,0.9016666666666666,0.9133333333333333,0.011666666666666714
103,SmallKitchenAppliances,0.8186666666666667,0.004429092258866169,0.8106666666666666,0.8293333333333334,0.01866666666666672
104,SmoothSubspace,0.9744444444444444,0.0030742202491826783,0.9666666666666667,0.98,0.013333333333333308
105,SonyAIBORobotSurface1,0.9215196894065446,0.002315612334755057,0.9168053244592346,0.9267886855241264,0.009983361064891838
106,SonyAIBORobotSurface2,0.9197621545995103,0.002938779367713896,0.912906610703043,0.9265477439664218,0.01364113326337879
107,StarLightCurves,0.9809818682208192,0.00036977189033812177,0.9802088392423507,0.981665857212239,0.0014570179698882857
108,Strawberry,0.9816216216216217,0.0013087410759770367,0.981081081081081,0.9864864864864865,0.005405405405405461
109,SwedishLeaf,0.9656,0.0027472870630672764,0.9616,0.9712,0.009599999999999942
110,Symbols,0.9741373534338358,0.0008318411927584844,0.9728643216080402,0.9758793969849247,0.0030150753768845018
111,SyntheticControl,0.9993333333333333,0.001614113993704999,0.9933333333333333,1.0,0.00666666666666671
112,ToeSegmentation1,0.9573099415204678,0.003978890961928694,0.9517543859649122,0.9649122807017544,0.013157894736842146
113,ToeSegmentation2,0.9207692307692308,0.006110590683921474,0.9076923076923077,0.9307692307692308,0.023076923076923106
114,Trace,1.0,0.0,1.0,1.0,0.0
115,TwoLeadECG,0.9991220368744512,0.0,0.9991220368744512,0.9991220368744512,0.0
116,TwoPatterns,1.0,0.0,1.0,1.0,0.0
117,UMD,0.9861111111111112,0.0,0.9861111111111112,0.9861111111111112,0.0
118,UWaveGestureLibraryAll,0.9753675786339103,0.0007747910603882956,0.9743160245672808,0.9773869346733668,0.0030709101060859556
119,UWaveGestureLibraryX,0.8552763819095477,0.0016419849844340319,0.8523171412618649,0.8581797878280291,0.005862646566164198
120,UWaveGestureLibraryY,0.7782244556113903,0.0023202649269767743,0.7738693467336684,0.781965382467895,0.008096035734226681
121,UWaveGestureLibraryZ,0.7946305602084497,0.0018423467125767777,0.7895030709101061,0.7975991066443328,0.008096035734226681
122,Wafer,0.9982370754921047,0.0003898545066991947,0.9970798182998053,0.9988643737832577,0.0017845554834523547
123,Wine,0.802469135802469,0.03584721444593412,0.7407407407407407,0.8518518518518519,0.11111111111111116
124,WordSynonyms,0.7491640543364682,0.0036927363176895273,0.7429467084639498,0.7570532915360502,0.014106583072100332
125,Worms,0.7277056277056277,0.007986336361797117,0.7142857142857143,0.7402597402597403,0.025974025974025983
126,WormsTwoClass,0.796969696969697,0.012979547040441939,0.7662337662337663,0.8181818181818182,0.051948051948051965
127,Yoga,0.9092666666666667,0.0032769951660031197,0.9026666666666666,0.9173333333333333,0.014666666666666717
