,dataset,run,accuracy
0,ACSF1,0,0.87
1,ACSF1,1,0.88
2,ACSF1,2,0.88
3,ACSF1,3,0.89
4,ACSF1,4,0.87
5,ACSF1,5,0.88
6,ACSF1,6,0.88
7,ACSF1,7,0.86
8,ACSF1,8,0.85
9,ACSF1,9,0.87
10,Adiac,0,0.7979539641943734
11,Adiac,1,0.782608695652174
12,Adiac,2,0.7902813299232737
13,Adiac,3,0.782608695652174
14,Adiac,4,0.782608695652174
15,Adiac,5,0.7774936061381074
16,Adiac,6,0.7953964194373402
17,Adiac,7,0.782608695652174
18,Adiac,8,0.7851662404092071
19,Adiac,9,0.7749360613810742
20,AllGestureWiimoteX,0,0.7314285714285714
21,AllGestureWiimoteX,1,0.73
22,AllGestureWiimoteX,2,0.7314285714285714
23,AllGestureWiimoteX,3,0.7228571428571429
24,AllGestureWiimoteX,4,0.7328571428571429
25,AllGestureWiimoteX,5,0.7242857142857143
26,AllGestureWiimoteX,6,0.7328571428571429
27,AllGestureWiimoteX,7,0.7314285714285714
28,AllGestureWiimoteX,8,0.7342857142857143
29,AllGestureWiimoteX,9,0.73
30,AllGestureWiimoteY,0,0.7271428571428571
31,AllGestureWiimoteY,1,0.7285714285714285
32,AllGestureWiimoteY,2,0.7257142857142858
33,AllGestureWiimoteY,3,0.73
34,AllGestureWiimoteY,4,0.73
35,AllGestureWiimoteY,5,0.73
36,AllGestureWiimoteY,6,0.73
37,AllGestureWiimoteY,7,0.73
38,AllGestureWiimoteY,8,0.7271428571428571
39,AllGestureWiimoteY,9,0.7271428571428571
40,AllGestureWiimoteZ,0,0.7185714285714285
41,AllGestureWiimoteZ,1,0.7028571428571428
42,AllGestureWiimoteZ,2,0.7085714285714285
43,AllGestureWiimoteZ,3,0.7085714285714285
44,AllGestureWiimoteZ,4,0.7014285714285714
45,AllGestureWiimoteZ,5,0.7028571428571428
46,AllGestureWiimoteZ,6,0.7071428571428572
47,AllGestureWiimoteZ,7,0.71
48,AllGestureWiimoteZ,8,0.7171428571428572
49,AllGestureWiimoteZ,9,0.7057142857142857
50,ArrowHead,0,0.8171428571428572
51,ArrowHead,1,0.8171428571428572
52,ArrowHead,2,0.7942857142857143
53,ArrowHead,3,0.7942857142857143
54,ArrowHead,4,0.8057142857142857
55,ArrowHead,5,0.8
56,ArrowHead,6,0.8057142857142857
57,ArrowHead,7,0.8114285714285714
58,ArrowHead,8,0.8057142857142857
59,ArrowHead,9,0.8171428571428572
60,BME,0,1.0
61,BME,1,1.0
62,BME,2,1.0
63,BME,3,1.0
64,BME,4,1.0
65,BME,5,1.0
66,BME,6,1.0
67,BME,7,1.0
68,BME,8,1.0
69,BME,9,1.0
70,Beef,0,0.8
71,Beef,1,0.8
72,Beef,2,0.8
73,Beef,3,0.8
74,Beef,4,0.7666666666666667
75,Beef,5,0.8
76,Beef,6,0.8
77,Beef,7,0.8
78,Beef,8,0.8
79,Beef,9,0.8
80,BeetleFly,0,0.9
81,BeetleFly,1,0.9
82,BeetleFly,2,0.9
83,BeetleFly,3,0.9
84,BeetleFly,4,0.9
85,BeetleFly,5,0.9
86,BeetleFly,6,0.9
87,BeetleFly,7,0.85
88,BeetleFly,8,0.9
89,BeetleFly,9,0.9
90,BirdChicken,0,0.9
91,BirdChicken,1,0.9
92,BirdChicken,2,0.9
93,BirdChicken,3,0.9
94,BirdChicken,4,0.9
95,BirdChicken,5,0.9
96,BirdChicken,6,0.9
97,BirdChicken,7,0.9
98,BirdChicken,8,0.9
99,BirdChicken,9,0.9
100,CBF,0,1.0
101,CBF,1,1.0
102,CBF,2,1.0
103,CBF,3,1.0
104,CBF,4,1.0
105,CBF,5,1.0
106,CBF,6,1.0
107,CBF,7,1.0
108,CBF,8,1.0
109,CBF,9,1.0
110,Car,0,0.9
111,Car,1,0.8833333333333333
112,Car,2,0.8833333333333333
113,Car,3,0.8833333333333333
114,Car,4,0.8833333333333333
115,Car,5,0.9166666666666666
116,Car,6,0.8833333333333333
117,Car,7,0.9
118,Car,8,0.8833333333333333
119,Car,9,0.9
120,Chinatown,0,0.9825072886297376
121,Chinatown,1,0.9825072886297376
122,Chinatown,2,0.9825072886297376
123,Chinatown,3,0.9825072886297376
124,Chinatown,4,0.9825072886297376
125,Chinatown,5,0.9825072886297376
126,Chinatown,6,0.9825072886297376
127,Chinatown,7,0.9825072886297376
128,Chinatown,8,0.9825072886297376
129,Chinatown,9,0.9825072886297376
130,ChlorineConcentration,0,0.82109375
131,ChlorineConcentration,1,0.8177083333333334
132,ChlorineConcentration,2,0.8015625
133,ChlorineConcentration,3,0.7971354166666667
134,ChlorineConcentration,4,0.8208333333333333
135,ChlorineConcentration,5,0.8153645833333333
136,ChlorineConcentration,6,0.81953125
137,ChlorineConcentration,7,0.8091145833333333
138,ChlorineConcentration,8,0.8177083333333334
139,ChlorineConcentration,9,0.8119791666666667
140,CinCECGTorso,0,0.8434782608695652
141,CinCECGTorso,1,0.8384057971014492
142,CinCECGTorso,2,0.8376811594202899
143,CinCECGTorso,3,0.8340579710144927
144,CinCECGTorso,4,0.836231884057971
145,CinCECGTorso,5,0.8355072463768116
146,CinCECGTorso,6,0.8376811594202899
147,CinCECGTorso,7,0.8340579710144927
148,CinCECGTorso,8,0.8420289855072464
149,CinCECGTorso,9,0.8405797101449275
150,Coffee,0,1.0
151,Coffee,1,1.0
152,Coffee,2,1.0
153,Coffee,3,1.0
154,Coffee,4,1.0
155,Coffee,5,1.0
156,Coffee,6,1.0
157,Coffee,7,1.0
158,Coffee,8,1.0
159,Coffee,9,1.0
160,Computers,0,0.776
161,Computers,1,0.772
162,Computers,2,0.768
163,Computers,3,0.78
164,Computers,4,0.776
165,Computers,5,0.756
166,Computers,6,0.764
167,Computers,7,0.772
168,Computers,8,0.78
169,Computers,9,0.78
170,CricketX,0,0.8205128205128205
171,CricketX,1,0.8153846153846154
172,CricketX,2,0.8179487179487179
173,CricketX,3,0.8256410256410256
174,CricketX,4,0.8153846153846154
175,CricketX,5,0.8179487179487179
176,CricketX,6,0.8179487179487179
177,CricketX,7,0.8256410256410256
178,CricketX,8,0.8128205128205128
179,CricketX,9,0.8102564102564103
180,CricketY,0,0.8512820512820513
181,CricketY,1,0.8461538461538461
182,CricketY,2,0.8512820512820513
183,CricketY,3,0.8435897435897436
184,CricketY,4,0.8512820512820513
185,CricketY,5,0.8564102564102564
186,CricketY,6,0.8615384615384616
187,CricketY,7,0.8512820512820513
188,CricketY,8,0.8487179487179487
189,CricketY,9,0.8461538461538461
190,CricketZ,0,0.8461538461538461
191,CricketZ,1,0.8564102564102564
192,CricketZ,2,0.8589743589743589
193,CricketZ,3,0.8564102564102564
194,CricketZ,4,0.8487179487179487
195,CricketZ,5,0.8641025641025641
196,CricketZ,6,0.8435897435897436
197,CricketZ,7,0.841025641025641
198,CricketZ,8,0.8564102564102564
199,CricketZ,9,0.8512820512820513
200,Crop,0,0.7785119047619048
201,Crop,1,0.7782738095238095
202,Crop,2,0.7776785714285714
203,Crop,3,0.7808928571428572
204,Crop,4,0.7754761904761904
205,Crop,5,0.7792857142857142
206,Crop,6,0.7804166666666666
207,Crop,7,0.7788095238095238
208,Crop,8,0.7791666666666667
209,Crop,9,0.7794642857142857
210,DiatomSizeReduction,0,0.9673202614379085
211,DiatomSizeReduction,1,0.9673202614379085
212,DiatomSizeReduction,2,0.9705882352941176
213,DiatomSizeReduction,3,0.9771241830065359
214,DiatomSizeReduction,4,0.9771241830065359
215,DiatomSizeReduction,5,0.9771241830065359
216,DiatomSizeReduction,6,0.9705882352941176
217,DiatomSizeReduction,7,0.9738562091503268
218,DiatomSizeReduction,8,0.9771241830065359
219,DiatomSizeReduction,9,0.9771241830065359
220,DistalPhalanxOutlineAgeGroup,0,0.7482014388489209
221,DistalPhalanxOutlineAgeGroup,1,0.7338129496402878
222,DistalPhalanxOutlineAgeGroup,2,0.7266187050359713
223,DistalPhalanxOutlineAgeGroup,3,0.7410071942446043
224,DistalPhalanxOutlineAgeGroup,4,0.7338129496402878
225,DistalPhalanxOutlineAgeGroup,5,0.7410071942446043
226,DistalPhalanxOutlineAgeGroup,6,0.7482014388489209
227,DistalPhalanxOutlineAgeGroup,7,0.7266187050359713
228,DistalPhalanxOutlineAgeGroup,8,0.7553956834532374
229,DistalPhalanxOutlineAgeGroup,9,0.7553956834532374
230,DistalPhalanxOutlineCorrect,0,0.7536231884057971
231,DistalPhalanxOutlineCorrect,1,0.7608695652173914
232,DistalPhalanxOutlineCorrect,2,0.75
233,DistalPhalanxOutlineCorrect,3,0.7753623188405797
234,DistalPhalanxOutlineCorrect,4,0.7536231884057971
235,DistalPhalanxOutlineCorrect,5,0.7753623188405797
236,DistalPhalanxOutlineCorrect,6,0.75
237,DistalPhalanxOutlineCorrect,7,0.75
238,DistalPhalanxOutlineCorrect,8,0.7608695652173914
239,DistalPhalanxOutlineCorrect,9,0.7717391304347826
240,DistalPhalanxTW,0,0.697841726618705
241,DistalPhalanxTW,1,0.697841726618705
242,DistalPhalanxTW,2,0.6906474820143885
243,DistalPhalanxTW,3,0.6834532374100719
244,DistalPhalanxTW,4,0.697841726618705
245,DistalPhalanxTW,5,0.6834532374100719
246,DistalPhalanxTW,6,0.697841726618705
247,DistalPhalanxTW,7,0.697841726618705
248,DistalPhalanxTW,8,0.6834532374100719
249,DistalPhalanxTW,9,0.7050359712230215
250,DodgerLoopDay,0,0.525
251,DodgerLoopDay,1,0.5125
252,DodgerLoopDay,2,0.55
253,DodgerLoopDay,3,0.55
254,DodgerLoopDay,4,0.5375
255,DodgerLoopDay,5,0.55
256,DodgerLoopDay,6,0.5125
257,DodgerLoopDay,7,0.525
258,DodgerLoopDay,8,0.5125
259,DodgerLoopDay,9,0.525
260,DodgerLoopGame,0,0.8695652173913043
261,DodgerLoopGame,1,0.8695652173913043
262,DodgerLoopGame,2,0.8695652173913043
263,DodgerLoopGame,3,0.8623188405797102
264,DodgerLoopGame,4,0.8623188405797102
265,DodgerLoopGame,5,0.8695652173913043
266,DodgerLoopGame,6,0.8695652173913043
267,DodgerLoopGame,7,0.8695652173913043
268,DodgerLoopGame,8,0.8623188405797102
269,DodgerLoopGame,9,0.8768115942028986
270,DodgerLoopWeekend,0,0.9637681159420289
271,DodgerLoopWeekend,1,0.9637681159420289
272,DodgerLoopWeekend,2,0.9637681159420289
273,DodgerLoopWeekend,3,0.9637681159420289
274,DodgerLoopWeekend,4,0.9637681159420289
275,DodgerLoopWeekend,5,0.9637681159420289
276,DodgerLoopWeekend,6,0.9637681159420289
277,DodgerLoopWeekend,7,0.9637681159420289
278,DodgerLoopWeekend,8,0.9637681159420289
279,DodgerLoopWeekend,9,0.9637681159420289
280,ECG200,0,0.92
281,ECG200,1,0.92
282,ECG200,2,0.92
283,ECG200,3,0.92
284,ECG200,4,0.91
285,ECG200,5,0.92
286,ECG200,6,0.91
287,ECG200,7,0.92
288,ECG200,8,0.92
289,ECG200,9,0.91
290,ECG5000,0,0.9468888888888889
291,ECG5000,1,0.9471111111111111
292,ECG5000,2,0.9471111111111111
293,ECG5000,3,0.9466666666666667
294,ECG5000,4,0.9473333333333334
295,ECG5000,5,0.948
296,ECG5000,6,0.9477777777777778
297,ECG5000,7,0.9475555555555556
298,ECG5000,8,0.9473333333333334
299,ECG5000,9,0.9473333333333334
300,ECGFiveDays,0,1.0
301,ECGFiveDays,1,1.0
302,ECGFiveDays,2,1.0
303,ECGFiveDays,3,1.0
304,ECGFiveDays,4,1.0
305,ECGFiveDays,5,1.0
306,ECGFiveDays,6,1.0
307,ECGFiveDays,7,1.0
308,ECGFiveDays,8,1.0
309,ECGFiveDays,9,1.0
310,EOGHorizontalSignal,0,0.5911602209944752
311,EOGHorizontalSignal,1,0.6022099447513812
312,EOGHorizontalSignal,2,0.580110497237569
313,EOGHorizontalSignal,3,0.5662983425414365
314,EOGHorizontalSignal,4,0.580110497237569
315,EOGHorizontalSignal,5,0.5828729281767956
316,EOGHorizontalSignal,6,0.6022099447513812
317,EOGHorizontalSignal,7,0.580110497237569
318,EOGHorizontalSignal,8,0.5966850828729282
319,EOGHorizontalSignal,9,0.5718232044198895
320,EOGVerticalSignal,0,0.5441988950276243
321,EOGVerticalSignal,1,0.5552486187845304
322,EOGVerticalSignal,2,0.5469613259668509
323,EOGVerticalSignal,3,0.5248618784530387
324,EOGVerticalSignal,4,0.5607734806629834
325,EOGVerticalSignal,5,0.56353591160221
326,EOGVerticalSignal,6,0.5524861878453039
327,EOGVerticalSignal,7,0.5469613259668509
328,EOGVerticalSignal,8,0.5414364640883977
329,EOGVerticalSignal,9,0.5359116022099447
330,Earthquakes,0,0.7410071942446043
331,Earthquakes,1,0.762589928057554
332,Earthquakes,2,0.7697841726618705
333,Earthquakes,3,0.762589928057554
334,Earthquakes,4,0.7553956834532374
335,Earthquakes,5,0.7553956834532374
336,Earthquakes,6,0.7553956834532374
337,Earthquakes,7,0.7697841726618705
338,Earthquakes,8,0.7482014388489209
339,Earthquakes,9,0.7482014388489209
340,ElectricDevices,0,0.7324601219037739
341,ElectricDevices,1,0.7290883153935935
342,ElectricDevices,2,0.7302554791855791
343,ElectricDevices,3,0.731033588380236
344,ElectricDevices,4,0.7318116975748931
345,ElectricDevices,5,0.7240306056283232
346,ElectricDevices,6,0.7286992607962651
347,ElectricDevices,7,0.731033588380236
348,ElectricDevices,8,0.7288289456620413
349,ElectricDevices,9,0.7270133575411749
350,EthanolLevel,0,0.584
351,EthanolLevel,1,0.604
352,EthanolLevel,2,0.604
353,EthanolLevel,3,0.576
354,EthanolLevel,4,0.584
355,EthanolLevel,5,0.596
356,EthanolLevel,6,0.58
357,EthanolLevel,7,0.594
358,EthanolLevel,8,0.586
359,EthanolLevel,9,0.592
360,FaceAll,0,0.942603550295858
361,FaceAll,1,0.9467455621301775
362,FaceAll,2,0.9431952662721893
363,FaceAll,3,0.9431952662721893
364,FaceAll,4,0.9402366863905326
365,FaceAll,5,0.9485207100591716
366,FaceAll,6,0.9491124260355029
367,FaceAll,7,0.9437869822485208
368,FaceAll,8,0.9497041420118343
369,FaceAll,9,0.9479289940828403
370,FaceFour,0,0.9772727272727273
371,FaceFour,1,0.9772727272727273
372,FaceFour,2,0.9772727272727273
373,FaceFour,3,0.9659090909090909
374,FaceFour,4,0.9772727272727273
375,FaceFour,5,0.9772727272727273
376,FaceFour,6,0.9772727272727273
377,FaceFour,7,0.9772727272727273
378,FaceFour,8,0.9772727272727273
379,FaceFour,9,0.9659090909090909
380,FacesUCR,0,0.9609756097560975
381,FacesUCR,1,0.9609756097560975
382,FacesUCR,2,0.9619512195121951
383,FacesUCR,3,0.9609756097560975
384,FacesUCR,4,0.9614634146341463
385,FacesUCR,5,0.9634146341463414
386,FacesUCR,6,0.9609756097560975
387,FacesUCR,7,0.9614634146341463
388,FacesUCR,8,0.9604878048780487
389,FacesUCR,9,0.9619512195121951
390,FiftyWords,0,0.8197802197802198
391,FiftyWords,1,0.8263736263736263
392,FiftyWords,2,0.8351648351648352
393,FiftyWords,3,0.8263736263736263
394,FiftyWords,4,0.8307692307692308
395,FiftyWords,5,0.8219780219780219
396,FiftyWords,6,0.832967032967033
397,FiftyWords,7,0.8307692307692308
398,FiftyWords,8,0.8307692307692308
399,FiftyWords,9,0.8307692307692308
400,Fish,0,0.9771428571428571
401,Fish,1,0.9828571428571429
402,Fish,2,0.9828571428571429
403,Fish,3,0.9828571428571429
404,Fish,4,0.9828571428571429
405,Fish,5,0.9828571428571429
406,Fish,6,0.9828571428571429
407,Fish,7,0.9828571428571429
408,Fish,8,0.9828571428571429
409,Fish,9,0.9771428571428571
410,FordA,0,0.9318181818181818
411,FordA,1,0.9303030303030303
412,FordA,2,0.9371212121212121
413,FordA,3,0.9454545454545454
414,FordA,4,0.9386363636363636
415,FordA,5,0.9340909090909091
416,FordA,6,0.9325757575757576
417,FordA,7,0.9378787878787879
418,FordA,8,0.9348484848484848
419,FordA,9,0.9424242424242424
420,FordB,0,0.8012345679012346
421,FordB,1,0.8049382716049382
422,FordB,2,0.8098765432098766
423,FordB,3,0.8012345679012346
424,FordB,4,0.7975308641975308
425,FordB,5,0.7888888888888889
426,FordB,6,0.7901234567901234
427,FordB,7,0.8037037037037037
428,FordB,8,0.7962962962962963
429,FordB,9,0.7901234567901234
430,FreezerRegularTrain,0,0.9978947368421053
431,FreezerRegularTrain,1,0.9982456140350877
432,FreezerRegularTrain,2,0.9971929824561403
433,FreezerRegularTrain,3,0.9975438596491228
434,FreezerRegularTrain,4,0.9971929824561403
435,FreezerRegularTrain,5,0.9975438596491228
436,FreezerRegularTrain,6,0.9975438596491228
437,FreezerRegularTrain,7,0.9975438596491228
438,FreezerRegularTrain,8,0.9971929824561403
439,FreezerRegularTrain,9,0.9978947368421053
440,FreezerSmallTrain,0,0.9543859649122807
441,FreezerSmallTrain,1,0.9501754385964912
442,FreezerSmallTrain,2,0.9505263157894737
443,FreezerSmallTrain,3,0.9487719298245614
444,FreezerSmallTrain,4,0.9505263157894737
445,FreezerSmallTrain,5,0.9473684210526315
446,FreezerSmallTrain,6,0.9505263157894737
447,FreezerSmallTrain,7,0.9498245614035088
448,FreezerSmallTrain,8,0.9487719298245614
449,FreezerSmallTrain,9,0.9529824561403509
450,Fungi,0,1.0
451,Fungi,1,1.0
452,Fungi,2,1.0
453,Fungi,3,1.0
454,Fungi,4,1.0
455,Fungi,5,1.0
456,Fungi,6,1.0
457,Fungi,7,1.0
458,Fungi,8,1.0
459,Fungi,9,1.0
460,GestureMidAirD1,0,0.7769230769230769
461,GestureMidAirD1,1,0.7769230769230769
462,GestureMidAirD1,2,0.7769230769230769
463,GestureMidAirD1,3,0.7769230769230769
464,GestureMidAirD1,4,0.7769230769230769
465,GestureMidAirD1,5,0.7769230769230769
466,GestureMidAirD1,6,0.7769230769230769
